Id;Nombre;Descripcion;Precio;Categoria;Marca;Talla;Color;EstadoPrenda;Estado;ImagenUrl;FechaCreacion;FechaVenta;Genero
4;Calcetines Altos;Calcetines Altos;160;Calcetines;Calvin Klein;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_4.jpg;1/10/2025 09:41;;Unisex
5;Calcetines Altos;Calcetines Altos;160;Calcetines;Calvin Klein;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_5.jpg;1/10/2025 09:41;;Unisex
6;Calcetines Altos;Calcetines Altos;160;Calcetines;Adidas;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_6.jpg;1/10/2025 09:41;;Unisex
7;Calcetines Bajos;Calcetines Bajos;150;Calcetines;Tommy;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_7.jpg;1/10/2025 09:41;;Unisex
8;Calcetines Bajos;Calcetines Bajos;150;Calcetines;Nautica;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_8.jpg;1/10/2025 09:41;;Unisex
9;Calcetines Bajos;Calcetines Bajos;150;Calcetines;Champion;M;Negro;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_9.jpg;1/10/2025 09:41;;Unisex
10;Chumpa;Chumpa;250;Chumpas;Lululemon;M;Blanco;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_10.jpg;30/09/2025 20:14;;Mujer
11;Pantaloneta;Pantaloneta;70;Pantalonetas;All in Motion;M;Verde;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_11.jpg;30/09/2025 20:14;;Mujer
12;Pantaloneta;Pantaloneta;70;Pantalonetas;Layers;M;Gris;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_12.jpg;30/09/2025 20:14;;Mujer
13;Falda;Falda;80;Faldas;Te Verde;M;Verde;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_13.jpg;30/09/2025 20:14;;Mujer
14;Licra;Licra;50;Licras;Americano;L;Celeste;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_14.jpg;30/09/2025 20:14;;Mujer
15;Licra;Licra;50;Licras;Alala;L;Negro;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_15.jpg;30/09/2025 20:14;;Mujer
16;Licra;Licra;50;Licras;Stoic;L;Gris;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_16.jpg;30/09/2025 20:14;;Mujer
17;Licra;Licra;50;Licras;Under Armour;L;Negro;9;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_17.jpg;30/09/2025 20:14;;Mujer
18;Licra;Licra;50;Licras;Mondetta;L;Beige;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_18.jpg;30/09/2025 20:14;;Mujer
19;Pescador;Pescador;20;Pescadores;Danskin;XL;Negro;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_19.jpg;30/09/2025 20:14;;Mujer
20;Pescador;Pescador;65;Pescadores;Time and Tru;L;Azul;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_20.jpg;30/09/2025 20:14;;Mujer
21;Pescador;Pescador;55;Pescadores;RBX;L;Azul;9;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_21.jpg;30/09/2025 20:14;;Mujer
22;Licra;Licra;80;Licras;RBX;L;Azul;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_22.jpg;30/09/2025 20:14;;Mujer
23;Licra;Licra;70;Licras;Athleta;L;Azul;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_23.jpg;30/09/2025 20:14;;Mujer
24;Licra;Licra;70;Licras;CRZ Yoga;L;Azul;10;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_24.jpg;30/09/2025 20:14;;Mujer
25;Licra;Licra;50;Licras;Old Navy;M;Negro;8;Disponible;https://xenmdxjjqmrlrvenqkhg.supabase.co/storage/v1/object/public/productos/P_25.jpg;30/09/2025 20:14;;Mujer
